Subject,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
DSA,What is a linked list?,A type of array,A data structure consisting of nodes,A function,A class,A data structure consisting of nodes
DSA,What is the time complexity of binary search?,O(n),O(log n),O(n log n),O(1),O(log n)
DSA,What is the purpose of a stack?,To store data in a queue,To store data in a tree,To store data in a Last-In-First-Out (LIFO) order,To store data in a First-In-First-Out (FIFO) order,To store data in a Last-In-First-Out (LIFO) order
DSA,What is the difference between a queue and a stack?,A queue is a LIFO data structure, a stack is a FIFO data structure,A queue is a FIFO data structure, a stack is a LIFO data structure,A queue is a tree data structure, a stack is a graph data structure,A queue is a graph data structure, a stack is a tree data structure,A queue is a FIFO data structure, a stack is a LIFO data structure
DSA,What is the time complexity of a bubble sort algorithm?,O(n),O(n log n),O(n^2),O(2^n),O(n ^2)
DSA,What is the purpose of a hash table?,To store data in a sorted order,To store data in a random order,To store data in a key-value pair,To store data in a tree structure,To store data in a key-value pair
DSA,What is the time complexity of a depth-first search (DFS) algorithm?,O(n),O(n log n),O(n^2),O(2^n),O(n + m)
DSA,What is the purpose of a heap data structure?,To store data in a sorted order,To store data in a random order,To store data in a priority queue,To store data in a tree structure,To store data in a priority queue
DSA,What is the time complexity of a merge sort algorithm?,O(n),O(n log n),O(n^2),O(2^n),O(n log n)
DSA,What is the purpose of a graph data structure?,To store data in a tree structure,To store data in a random order,To store data in a network of nodes and edges,To store data in a key-value pair,To store data in a network of nodes and edges
DSA,What is the time complexity of a quicksort algorithm?,O(n),O(n log n),O(n^2),O(2^n),O(n log n)
DSA,What is dynamic programming?,A technique to solve problems by combining solutions of subproblems,A method of sorting data,A way to manage memory,An algorithm for searching in graphs,A technique to solve problems by combining solutions of subproblems
DSA,What is a binary heap?,A complete binary tree that satisfies the heap property,A linear data structure,A non-linear data structure,A type of graph,A complete binary tree that satisfies the heap property
DSA,What is the main difference between BFS and DFS?,BFS uses a stack, DFS uses a queue,BFS uses a queue, DFS uses a stack,Both use the same data structure,BFS is for unweighted graphs only,BFS uses a queue, DFS uses a stack
DSA,What is the worst-case time complexity of an insertion sort?,O(n),O(n log n),O(n^2),O(2^n),O(n^2)
DSA,What does a trie data structure store?,Only strings,Only integers,Key-value pairs,Graphs,Only strings
DSA,What is the time complexity of accessing an element in a hash table?,O(n),O(log n),O(1),O(n log n),O(1)
DSA,What is a graph?,A collection of nodes and edges,A type of array,A type of tree,An algorithm,A collection of nodes and edges
DSA,What is the purpose of a priority queue?,To store data in random order,To allow access to the highest (or lowest) priority element first,To sort data,To store data in a tree structure,To allow access to the highest (or lowest) priority element first
DSA,What is the time complexity of finding the height of a binary tree?,O(n),O(log n),O(n^2),O(1),O(n)
